direction,lots,entry,exit,entry_time,exit_time,pnl,reason
1,0.09,2406.49,2407.188571428571,2024-07-11 16:00:00,2024-07-12 08:00:00,5.65714285713977,SL
1,0.12,2442.69,2433.81,2024-07-16 13:00:00,2024-07-16 15:00:00,-107.4000000000013,SL
1,0.07,2452.31,2462.464285714286,2024-07-16 18:00:00,2024-07-17 17:00:00,70.59000000000084,SL
1,0.06,2483.0899999999997,2463.6,2024-07-17 17:00:00,2024-07-17 18:00:00,-117.35999999999869,SL(ギャップ)
-1,0.08,2387.07,2400.0514285714285,2024-07-22 18:00:00,2024-07-22 22:00:00,-104.41142857142637,SL
1,0.07,2426.42,2436.1835714285708,2024-07-31 17:00:00,2024-08-01 11:00:00,67.8549999999948,SL
1,0.06,2466.98,2453.265,2024-08-02 09:00:00,2024-08-02 17:00:00,-82.71000000000087,SL
-1,0.05,2388.23,2397.757857142857,2024-08-06 18:00:00,2024-08-07 13:00:00,-47.98928571428551,SL
1,0.1,2430.7999999999997,2458.3407142857145,2024-08-09 14:00:00,2024-08-13 08:00:00,274.70714285714786,SL
1,0.08,2530.17,2517.2628571428572,2024-08-20 17:00:00,2024-08-20 18:00:00,-103.81714285714276,SL
1,0.11,2522.47,2509.22,2024-09-06 16:00:00,2024-09-06 17:00:00,-146.52,SL(ギャップ)
1,0.14,2526.8199999999997,2519.5385714285712,2024-09-11 10:00:00,2024-09-11 13:00:00,-102.91999999999871,SL
1,0.09,2576.0899999999997,2577.784285714286,2024-09-13 16:00:00,2024-09-16 13:00:00,14.618571428576267,SL
1,0.12,2607.22,2603.190714285714,2024-09-20 11:00:00,2024-09-20 16:00:00,-49.19142857143001,SL
1,0.09,2615.7799999999997,2605.0371428571425,2024-09-20 16:00:00,2024-09-20 17:00:00,-97.31571428571522,SL
1,0.06,2623.08,2617.5299999999997,2024-09-20 19:00:00,2024-09-23 10:00:00,-33.72000000000109,SL
-1,0.04,2612.87,2619.882857142857,2024-10-08 19:00:00,2024-10-09 13:00:00,-28.331428571428916,SL
1,0.11,2679.73,2670.7999999999997,2024-10-16 12:00:00,2024-10-16 17:00:00,-99.0000000000032,SL
1,0.07,2717.67,2723.0664285714283,2024-10-18 18:00:00,2024-10-21 17:00:00,37.28499999999782,SL
1,0.1,2751.73,2744.6549999999997,2024-10-23 09:00:00,2024-10-23 15:00:00,-71.45000000000273,SL
1,0.1,2783.39,2775.3664285714285,2024-10-30 08:00:00,2024-10-30 14:00:00,-80.93571428571359,SL
-1,0.03,2698.85,2666.445714285714,2024-11-06 14:00:00,2024-11-07 09:00:00,97.00285714285751,SL
-1,0.07,2661.81,2611.1,2024-11-11 13:00:00,2024-11-12 15:00:00,354.48000000000025,SL
-1,0.05,2558.47,2561.692142857143,2024-11-14 08:00:00,2024-11-14 16:00:00,-16.46071428571677,SL
1,0.09,2661.63,2687.9842857142858,2024-11-21 09:00:00,2024-11-22 16:00:00,236.55857142857087,SL
1,0.08,2665.44,2653.2457142857143,2024-11-29 09:00:00,2024-11-29 16:00:00,-98.11428571428638,SL
1,0.08,2678.02,2685.613571428571,2024-12-10 15:00:00,2024-12-11 06:00:00,60.188571428568544,SL
1,0.05,2706.62,2704.424285714286,2024-12-11 17:00:00,2024-12-12 03:00:00,-11.328571428570378,SL
1,0.11,2705.6,2711.625714285714,2025-01-16 12:00:00,2025-01-17 07:00:00,65.51285714285403,SL
1,0.1,2752.33,2751.9,2025-01-22 07:00:00,2025-01-23 08:00:00,-4.999999999998364,SL(ギャップ)
1,0.07,2757.94,2768.6949999999997,2025-01-23 20:00:00,2025-01-27 01:00:00,74.7949999999976,SL
1,0.12,2749.14,2757.7000000000003,2025-01-28 16:00:00,2025-01-29 09:00:00,101.8800000000048,SL
1,0.11,2778.64,2800.5699999999997,2025-01-30 13:00:00,2025-01-31 20:00:00,240.4599999999982,SL
1,0.06,2829.14,2811.681428571428,2025-02-03 17:00:00,2025-02-04 01:00:00,-105.17142857143054,SL
1,0.07,2831.7599999999998,2860.6085714285714,2025-02-04 16:00:00,2025-02-06 08:00:00,201.4500000000014,SL
1,0.08,2945.67,2933.0285714285715,2025-02-19 12:00:00,2025-02-19 14:00:00,-101.69142857142886,SL
1,0.08,2954.8199999999997,2942.5114285714285,2025-02-20 11:00:00,2025-02-20 14:00:00,-99.0285714285697,SL
-1,0.08,2881.19,2894.67,2025-02-27 11:00:00,2025-02-27 12:00:00,-108.40000000000016,SL
-1,0.05,2872.0,2860.278571428572,2025-02-27 17:00:00,2025-03-03 01:00:00,58.257142857140394,SL
1,0.07,2928.64,2982.5685714285714,2025-03-12 18:00:00,2025-03-14 16:00:00,377.0100000000009,SL
1,0.09,3026.8199999999997,3030.4785714285713,2025-03-18 11:00:00,2025-03-19 10:00:00,32.29714285714419,SL
1,0.09,3078.02,3067.4464285714284,2025-03-28 08:00:00,2025-03-28 10:00:00,-95.79214285714386,SL
1,0.05,3113.67,3099.670714285714,2025-03-31 08:00:00,2025-03-31 16:00:00,-70.34642857143044,SL
1,0.06,3146.3199999999997,3128.3442857142854,2025-04-01 07:00:00,2025-04-01 09:00:00,-108.27428571428565,SL
1,0.03,3154.88,3207.9507142857146,2025-04-10 18:00:00,2025-04-14 13:00:00,159.00214285714358,SL
1,0.05,3281.75,3320.005714285714,2025-04-16 07:00:00,2025-04-17 10:00:00,190.92857142857014,SL
1,0.04,3385.83,3444.762857142857,2025-04-21 09:00:00,2025-04-22 11:00:00,235.45142857142736,SL
-1,0.03,3226.61,3244.448571428571,2025-05-01 08:00:00,2025-05-02 05:00:00,-53.72571428571287,SL
1,0.03,3391.3399999999997,3395.0657142857144,2025-05-06 16:00:00,2025-05-07 01:00:00,10.96714285714419,SL
-1,0.02,3223.34,3243.4035714285715,2025-05-12 11:00:00,2025-05-13 04:00:00,-40.267142857142645,SL
-1,0.05,3223.83,3244.0214285714287,2025-05-14 08:00:00,2025-05-14 11:00:00,-101.30714285714394,SL
-1,0.05,3220.01,3161.849285714286,2025-05-14 15:00:00,2025-05-15 11:00:00,290.45357142857114,SL
-1,0.03,3163.1,3197.3714285714286,2025-05-16 15:00:00,2025-05-16 23:00:00,-103.02428571428614,SL
1,0.04,3316.6,3292.387142857143,2025-05-21 09:00:00,2025-05-21 15:00:00,-97.13142857142819,SL
1,0.05,3331.29,3338.2807142857146,2025-05-23 10:00:00,2025-05-26 09:00:00,34.60357142857301,SL
1,0.06,3319.5499999999997,3300.5071428571428,2025-05-28 11:00:00,2025-05-28 16:00:00,-114.67714285714183,SL
1,0.03,3316.67,3301.4049999999997,2025-05-29 16:00:00,2025-05-30 05:00:00,-46.00500000000098,SL
1,0.04,3372.13,3362.647857142857,2025-06-02 17:00:00,2025-06-03 06:00:00,-38.20857142857247,SL
1,0.04,3382.83,3407.8599999999997,2025-06-12 14:00:00,2025-06-13 10:00:00,99.83999999999898,SL
-1,0.06,3344.63,3362.1842857142856,2025-06-20 09:00:00,2025-06-20 16:00:00,-105.74571428571282,SL
-1,0.04,3331.94,3324.3399999999997,2025-06-24 09:00:00,2025-06-25 03:00:00,30.120000000001454,SL(ギャップ)
-1,0.06,3284.23,3281.5814285714287,2025-06-27 11:00:00,2025-06-30 05:00:00,15.47142857142815,SL
-1,0.06,3302.07,3319.2428571428577,2025-07-07 11:00:00,2025-07-07 17:00:00,-103.45714285714523,SL
1,0.06,3355.29,3351.116428571428,2025-07-11 16:00:00,2025-07-14 15:00:00,-25.461428571431426,SL
1,0.05,3343.68,3343.5064285714284,2025-07-16 19:00:00,2025-07-17 03:00:00,-1.2178571428572469,SL
1,0.09,3366.87,3385.47,2025-07-21 09:00:00,2025-07-22 09:00:00,166.7699999999992,SL(ギャップ)
