direction,lots,entry,exit,entry_time,exit_time,pnl,reason
-1,0.07,1696.21,1744.71,2022-07-21,2022-07-28,-339.99000000000007,SL
-1,0.09,1710.96,1698.065,2022-09-01,2022-10-03,115.42499999999984,SL
-1,0.07,1664.63,1698.065,2022-09-16,2022-10-03,-234.53499999999966,SL
-1,0.07,1621.99,1675.997142857143,2022-09-27,2022-10-03,-378.5400000000009,SL
1,0.07,1854.57,1880.9392857142857,2023-01-05,2023-02-03,184.09500000000028,SL
1,0.07,1896.23,1880.9392857142857,2023-01-13,2023-02-03,-107.52500000000032,SL
1,0.07,1919.3799999999999,1880.9392857142857,2023-01-16,2023-02-03,-269.5749999999994,SL
1,0.07,1913.8,1991.9428571428568,2023-03-14,2023-05-16,546.5099999999982,SL
1,0.05,1984.84,1991.9428571428568,2023-03-20,2023-05-16,35.164285714284595,SL
1,0.06,2014.75,1991.9428571428568,2023-04-13,2023-05-16,-137.26285714285896,SL
1,0.09,1978.6899999999998,1939.9099999999999,2023-07-19,2023-08-02,-349.64999999999975,SL
1,0.06,2003.55,1949.1599999999999,2023-10-30,2023-11-08,-326.7600000000006,SL
1,0.06,1962.7199999999998,1949.58,2023-10-23,2023-11-09,-79.25999999999924,最大DD停止
