構成,ISリターン%,ISPF,ISDD%,OOSリターン%,OOSPF,OOSDD%,FULLリターン%,FULLPF,FULLDD%,FULL取引数,FULLシャープ
baseline,11.0,1.23,21.9,46.3,5.14,10.8,73.2,2.13,23.4,79,1.07
+MTF,10.9,1.23,21.8,46.3,5.14,10.8,73.1,2.14,23.3,77,1.07
+ATRexp,36.0,2.43,12.0,37.0,8.79,7.1,83.8,3.17,15.7,52,1.38
+BE,14.5,1.36,17.0,25.3,2.93,9.6,46.7,1.81,18.5,94,0.83
+MTF+BE,14.9,1.38,16.9,25.3,2.93,9.6,46.4,1.8,18.5,90,0.83
+MTF+ATRexp,34.8,2.4,12.1,37.0,8.79,7.1,80.9,3.11,15.9,50,1.36
+ALL,12.4,1.55,12.1,4.7,1.58,10.2,15.4,1.43,14.9,58,0.44
