構成,ISリターン%,ISPF,ISDD%,OOSリターン%,OOSPF,OOSDD%,FULLリターン%,FULLPF,FULLDD%,FULL取引数,FULLシャープ
baseline,5.6,1.05,20.8,55.4,2.01,21.5,56.0,1.32,22.0,214,0.74
+MTF,-2.0,0.98,21.1,55.4,2.01,21.5,43.7,1.29,21.7,195,0.67
+ATRexp,-2.6,0.95,19.9,31.9,2.32,14.7,28.6,1.37,22.5,111,0.66
+BE,-7.1,0.93,24.4,41.8,1.81,14.5,28.6,1.2,28.8,242,0.5
+MTF+BE,-12.3,0.84,24.3,41.8,1.81,14.5,21.4,1.17,28.7,222,0.45
+MTF+ATRexp,-3.5,0.93,20.1,31.9,2.32,14.7,27.8,1.4,22.7,100,0.69
+ALL,-4.8,0.87,21.0,29.5,3.34,9.3,22.4,1.45,23.2,105,0.66
