direction,lots,entry,exit,entry_time,exit_time,pnl,reason
1,0.09,2746.813,2731.65,2024-11-04 15:55:00,2024-11-04 19:10:00,-137.0970000000001,SL
-1,0.02,2687.574,2660.97,2024-11-06 15:00:00,2024-11-06 23:00:00,53.068000000000545,時間手仕舞い
-1,0.04,2653.634,2622.17,2024-11-11 15:00:00,2024-11-11 23:00:00,125.57599999999977,時間手仕舞い
-1,0.08,2595.755,2573.99,2024-11-13 17:05:00,2024-11-13 23:00:00,173.56000000000262,時間手仕舞い
-1,0.02,2651.7560000000003,2626.2599999999998,2024-11-25 16:15:00,2024-11-25 23:00:00,50.852000000001105,時間手仕舞い
-1,0.09,2634.625,2651.79,2024-12-04 15:00:00,2024-12-04 16:25:00,-155.11499999999967,SL
-1,0.09,2640.4440000000004,2631.49,2024-12-05 16:55:00,2024-12-05 23:00:00,79.9560000000057,時間手仕舞い
-1,0.06,2633.782,2643.85,2024-12-17 16:10:00,2024-12-17 23:00:00,-60.82799999999854,時間手仕舞い
-1,0.14,2641.1620000000003,2608.828000000001,2024-12-18 15:05:00,2024-12-18 21:50:00,451.69599999999133,TP
-1,0.07,2610.901,2611.42,2024-12-23 17:05:00,2024-12-23 23:00:00,-4.12300000000163,時間手仕舞い
-1,0.13,2610.189,2626.56,2024-12-24 16:55:00,2024-12-26 08:00:00,-213.73300000000123,SL(ギャップ)
-1,0.21,2622.799,2630.35,2024-12-26 15:45:00,2024-12-26 16:55:00,-160.04099999999855,SL
-1,0.09,2621.882,2615.64,2024-12-27 15:05:00,2024-12-27 23:00:00,55.5480000000017,時間手仕舞い
-1,0.07,2607.058,2607.93,2024-12-30 15:55:00,2024-12-30 23:00:00,-6.593999999998906,時間手仕舞い
-1,0.08,2648.238,2638.47,2025-01-03 15:20:00,2025-01-03 23:00:00,77.58400000000023,時間手仕舞い
-1,0.05,2622.634,2634.81,2025-01-06 15:45:00,2025-01-06 23:00:00,-61.229999999999656,時間手仕舞い
-1,0.09,2666.811,2683.47,2025-01-10 15:30:00,2025-01-10 15:55:00,-150.56099999999685,SL
1,0.06,2691.12,2696.25,2025-01-15 15:30:00,2025-01-15 23:00:00,30.36000000000065,時間手仕舞い
1,0.06,2713.4559999999997,2715.71,2025-01-16 15:30:00,2025-01-16 23:00:00,13.10400000000216,時間手仕舞い
1,0.04,2736.035,2742.41,2025-01-21 16:50:00,2025-01-21 23:00:00,25.22,時間手仕舞い
